Dealership,Address,City,State,Zip,Website,url_active,last_checked
CENTURY VOLVO,3800 UNIVERSITY DR NW,HUNTSVILLE,AL,35816,www.century-volvo.com,True,2025-03-10
"CHAMPION CHEVROLET, INC.",921 S CLINTON ST,ATHENS,AL,35611,championathens.com,True,2025-03-10
CHAMPION CHRYSLER DODGE JEEP,907 S CLINTON ST,ATHENS,AL,35611,www.championchryslerdodge.net,True,2025-03-10
"CHAMPION OF DECATUR, INC.",3831 US HIGHWAY 31 S,DECATUR,AL,35603,www.championofdecatur.com,True,2025-03-10
CHATOM FORD,HIGHWAY 17 NORTH,CHATOM,AL,36518,chatomford.com,False,2025-03-10
"CHATOM MOTOR CO., INC",16835 JORDAN ST,CHATOM,AL,36518,chatommotorcompany.com,True,2025-03-10
"CHEVROLET OF BOAZ, INC.",1134 HWY 431,BOAZ,AL,35957,Chevroletofboaz.com,False,2025-03-10
CHRIS MYERS BUICK GMC,27161 HWY 98,DAPHNE,AL,36526,chrismyersbpg.com,True,2025-03-10
CHRIS MYERS CHRYSLER JEEP DODGE,27161 HIGHWAY 98,DAPHNE,AL,36526,www.chrismyersdodgechryslerjeep.com/,True,2025-03-10
CHRISH MYERS NISSAN,29788 FREDERICK BLVD,DAPHNE,AL,36526,www.chrismyersnissan.com,False,2025-03-10
"CHUCK STEVENS AUTOMOTIVE, INC.",1304 HIGHWAY 31 SOUTH,BAY MINETTE,AL,36507,chuckstevensford.net,False,2025-03-10
"CHUCK STEVENS CHEVROLET OF ATMORE, INC.",406 E NASHVILLE AVE,ATMORE,AL,36502,chuckstevensatmore.com,False,2025-03-10
"CHUCK STEVENS CHEVROLET OF BAY MINETTE, INC.",2427 HWY 31 S,BAY MINETTE,AL,36507,chuckstevensofbayminette.com,True,2025-03-10
CHUCK STEVENS DODGE CHRYSLER JEEP,400 S US HIGHWAY 31,BAY MINETTE,AL,36507,chuckstevensdodgechryslerjeep.com,True,2025-03-10
CLASSIC BUICK GMC,833 EASTERN BOULEVARD,MONTGOMERY,AL,36117,classic-montgomery.net,False,2025-03-10
CLASSIC CADILLAC,833 EASTERN BOULEVARD,MONTGOMERY,AL,36117,cadillacofmontgomery.com,False,2025-03-10
CLASSIC SUZUKI,9008 PARKWAY E,BIRMINGHAM,AL,35206,www.classicsuzukibham.com,False,2025-03-10
CLAY CHEVROLET,86635 HWY 9,LINEVILLE,AL,36266,clayautomotive.net,False,2025-03-10
CLAY COUNTY CHRYSLER DODGE JEEP OF LINEVILLE,86635 HIGHWAY 9,LINEVILLE,AL,36266,www.claycountycdj.com,False,2025-03-10
COLLIER FORD INC,5156 US HIGHWAY 231,WETUMPKA,AL,36092,collierfordinc.com,False,2025-03-10
CONTEMPORARY MITSUBISHI,100 15TH ST E,TUSCALOOSA,AL,35401,www.contemporarymitsubishi.com,False,2025-03-10
